Salary_id,iso_alpha2,Job_id,percentile_25,percentile_25_GBP,percentile_50,percentile_50_GBP,percentile_75,percentile_75_GBP
196,DZ,PRODUCT-MANAGER,6565.24,39.2022,8068.05,48.1757,9914.86,59.2033
197,DZ,PROJECT-MANAGER,5881.88,35.1217,7270.62,43.4141,8987.25,53.6644
198,DZ,QA-ENGINEER,4635.35,27.6785,5714.09,34.1198,7043.89,42.0603
199,DZ,RECEPTIONIST,2398.74,14.3233,2905.27,17.3479,3518.77,21.0112
200,DZ,RESEARCH-SCIENTIST,5019.88,29.9746,6433.89,38.4178,8246.18,49.2394
201,DZ,SALES-MANAGER,5013.14,29.9343,6625.65,39.5629,8756.83,52.2886
202,DZ,SOFTWARE-ENGINEER,5899.76,35.2285,7191.03,42.9389,8764.92,52.3369
203,DZ,SYSTEMS-ADMINISTRATOR,4741.92,28.3148,5707.11,34.0781,6868.75,41.0145
204,DZ,TEACHER,3390.84,20.2473,4193.88,25.0424,5187.1,30.9731
205,DZ,UX-DESIGNER,5222.51,31.1845,6403.55,38.2367,7851.67,46.8837
206,DZ,WAITER,1365.15,8.15156,2090,12.4797,3199.71,19.106
207,DZ,WEB-DESIGNER,3799.63,22.6882,4649.4,27.7624,5689.22,33.9713
208,DZ,WEB-DEVELOPER,4787.18,28.5851,5932.06,35.4214,7350.76,43.8926
209,AD,ACCOUNT-MANAGER,32019.7,27807.3,40089.2,34815.3,50192.4,43589.4
210,AD,ACCOUNTANT,25556.5,22194.4,30351.4,26358.6,36046,31304
211,AD,ADMINISTRATIVE-ASSISTANT,19947.9,17323.7,24023.6,20863.2,28932,25125.9
212,AD,ARCHITECT,43591.8,37857.1,53978.5,46877.3,66839.9,58046.8
213,AD,ATTORNEY,34881,30292.2,47104.3,40907.5,63611,55242.7
214,AD,BUSINESS-ANALYST,35029,30420.7,42020.2,36492.2,50406.8,43775.5
215,AD,BUSINESS-DEVELOPMENT,31585.8,27430.5,41846.4,36341.3,55440.2,48146.8
216,AD,C-LEVEL-EXECUTIVE,57816.2,50210.2,86681.5,75278.2,129958,112862
217,AD,CASHIER,9258.38,8040.4,12970.5,11264.2,18171,15780.6
218,AD,CHEF,23839.1,20702.9,29281,25429,35965.3,31233.9
219,AD,CHEMICAL-ENGINEER,39438.4,34250.1,47789.1,41502.2,57908,50289.9
220,AD,CIVIL-ENGINEER,34951.9,30353.8,41668.4,36186.7,49675.4,43140.4
221,AD,CONTENT-MARKETING,24114,20941.7,30192,26220.1,37802,32828.9
222,AD,COPYWRITER,23925.2,20777.8,29419.5,25549.2,36175.5,31416.4
223,AD,CUSTOMER-SUPPORT,19999.9,17368.8,25713.2,22330.5,33058.6,28709.6
224,AD,DATA-ANALYST,28729.8,24950.3,34576.7,30028,41613.4,36139
225,AD,DATA-SCIENTIST,56681.7,49225,68472.3,59464.5,82715.5,71833.9
226,AD,DENTIST,60551.6,52585.8,78859.1,68484.8,102702,89190.9
227,AD,ELECTRICAL-ENGINEER,38063.9,33056.4,45380.2,39410.2,54102.9,46985.4
228,AD,EXECUTIVE-ASSISTANT,28264.6,24546.3,34186.3,29688.9,41348.6,35909
229,AD,FASHION-DESIGNER,29659.9,25758,38288.4,33251.4,49427.2,42924.8
230,AD,FINANCE-MANAGER,39986,34725.7,50510.7,43865.8,63805.6,55411.6
231,AD,FINANCIAL-ANALYST,30824.4,26769.3,35872.9,31153.6,41748.3,36256.1
232,AD,GRAPHIC-DESIGNER,21784.4,18918.6,25940,22527.5,30888.3,26824.8
233,AD,HARDWARE-ENGINEER,38907.2,33788.7,47270,41051.4,57430.4,49875.2
234,AD,HUMAN-RESOURCES-MANAGER,35790.3,31081.9,43704.9,37955.3,53369.8,46348.8
235,AD,IT-MANAGER,41507.3,36046.8,50862.2,44171,62325.5,54126.3
236,AD,INDUSTRIAL-DESIGNER,33769.4,29326.8,41483.4,36026.1,50959.7,44255.7
237,AD,INTERIOR-DESIGNER,28811.5,25021.2,34764.4,30191,41947.4,36429
